,Category_Name,Category_Images,Product,Silver_Cost,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount,Tiers
15,T1_FISHSAUCE_LEVEL1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce 1,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,15.0,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,1.0,,,,,,,,,,1
16,T1_FISHSAUCE_LEVEL2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce 2,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,45.0,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,3.0,,,,,,,,,,2
17,T1_FISHSAUCE_LEVEL3,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce 3,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,135.0,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,9.0,,,,,,,,,,3
18,T1_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T1_HEAD_LEATHER_SET1,Beginner's Mercenary Hood ,,,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,4.0,,,,,,,,,,,,,
19,T1_HIDE,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide ,,,,,,,,,,,,,,,,,,
20,T1_MAIN_SWORD,https://render.albiononline.com/v1/item/T1_MAIN_SWORD,Beginner's Broadsword ,,,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,6.0,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,6.0,,,,,,,,,,
21,T1_MEAL_GRILLEDFISH,https://render.albiononline.com/v1/item/T1_MEAL_GRILLEDFISH,Grilled Fish ,,15,,,,,,,,,,,,,,,,
22,T1_MEAL_SEAWEEDSALAD,https://render.albiononline.com/v1/item/T1_MEAL_SEAWEEDSALAD,Seaweed Salad ,,4,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,10.0,,,,,,,,,,,,,
23,T1_MEAL_SOUP,https://render.albiononline.com/v1/item/T1_MEAL_SOUP,Carrot Soup ,,56,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16.0,,,,,,,,,,,,,
24,T1_MEAL_SOUP@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@1,Carrot Soup 1,,78,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10.0,,,,,,,,,,1
25,T1_MEAL_SOUP@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@2,Carrot Soup 2,,123,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10.0,,,,,,,,,,2
26,T1_MEAL_SOUP@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@3,Carrot Soup 3,,256,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10.0,,,,,,,,,,3
27,T1_MEAL_SOUP_FISH,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH,Greenmoor Clam Soup ,,77,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2.0,,,,,,,,,,
28,T1_MEAL_SOUP_FISH@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@1,Greenmoor Clam Soup 1,,144,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3.0,,,,,,,1
29,T1_MEAL_SOUP_FISH@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@2,Greenmoor Clam Soup 2,,278,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3.0,,,,,,,2
30,T1_MEAL_SOUP_FISH@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@3,Greenmoor Clam Soup 3,,678,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3.0,,,,,,,3
31,T1_OFF_SHIELD,https://render.albiononline.com/v1/item/T1_OFF_SHIELD,Beginner's Shield ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,4.0,,,,,,,0,0,0.0,,,,
32,T1_ROCK,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone ,,,,,,,,,,,,0,0,0.0,,,,
33,T1_SEAWEED,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed ,,,,,,,,,,,,,,,,,,
34,T1_SHOES_LEATHER_SET1,﻿https://render.albiononline.com/v1/item/T1_SHOES_LEATHER_SET1,Beginner's Mercenary Shoes ,,,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,6.0,,,,,,,,,,,,,
35,T1_WOOD,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs ,,,,,,,,,,,,0,0,0.0,,,,
36,T1_WORM,https://render.albiononline.com/v1/item/T1_WORM,Earthworm ,,,,,,,,,,,,,,,,,,
37,T2_2H_BOW,https://render.albiononline.com/v1/item/T2_2H_BOW,Novice's Bow ,,560,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,32.0,,,,,,,,,,,,,
38,T2_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T2_2H_TOOL_AXE,Novice's Axe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2.0,,,,,,,,,,
39,T2_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_HAMMER,Novice's Stone Hammer ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2.0,,,,,,,,,,
40,T2_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T2_2H_TOOL_KNIFE,Novice's Skinning Knife ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2.0,,,,,,,,,,
41,T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2.0,,,,,,,,,,
42,T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2.0,,,,,,,,,,
43,T2_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_SIEGEHAMMER,Novice's Demolition Hammer ,,280,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,12.0,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block,12.0,,,,,,,,,,
44,T2_AGARIC,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric ,,,,,,,,,,,,,,,,,,
45,T2_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_CLOTH_SET1,Novice's Scholar Robe ,,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,16.0,,,,,,,,,,,,,
46,T2_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_LEATHER_SET1,Novice's Mercenary Jacket ,,280,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,16.0,,,,,,,,,,,,,
47,T2_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_PLATE_SET1,Novice's Soldier Armor ,,280,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16.0,,,,,,,,,,,,,
48,T2_BAG,https://render.albiononline.com/v1/item/T2_BAG,Novice's Bag ,,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,12.0,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,12.0,,,,,,,,,,
49,T2_BEAN,https://render.albiononline.com/v1/item/T2_BEAN,Beans ,,,,,,,,,,,,,,,,,,
50,T2_CAPE,https://render.albiononline.com/v1/item/T2_CAPE,Novice's Cape ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4.0,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4.0,,,,,,,,,,
51,T2_CLOTH,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth ,,18,https://render.albiononline.com/v1/item/T2_FIBER,Cotton,1.0,,,,,,,,,,,,,
52,T2_FARM_AGARIC_SEED,https://render.albiononline.com/v1/item/T2_FARM_AGARIC_SEED,Arcane Agaric Seeds ,3000.0,Silver,,,,,,,,,,,,,,,,
53,T2_FARM_BEAN_SEED,https://render.albiononline.com/v1/item/T2_FARM_BEAN_SEED,Carrot Seeds ,3000.0,Silver,,,,,,,,,,,,,,,,
54,T2_FIBER,https://render.albiononline.com/v1/item/T2_FIBER,Cotton ,,,,,,,,,,,,,,,,,,
55,T2_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_FRESHWATER_ALL_COMMON,Striped Carp ,,,,,,,,,,,,,,,,,,
56,T2_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_SALTWATER_ALL_COMMON,Striped Mackerel ,,,,,,,,,,,,,,,,,,
57,T2_HEAD_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_HEAD_CLOTH_SET1,Novice's Scholar Cowl ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8.0,,,,,,,,,,,,,
58,T2_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_HEAD_LEATHER_SET1,Novice's Mercenary Hood ,,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8.0,,,,,,,,,,,,,
59,T2_HEAD_PLATE_SET1,https://render.albiononline.com/v1/item/T2_HEAD_PLATE_SET1,Novice's Soldier Helmet ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8.0,,,,,,,,,,,,,
60,T2_HIDE,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide ,,,,,,,,,,,,,,,,,,
61,T2_LEATHER,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather ,,,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide,1.0,,,,,,,,,,,,,
62,T2_MAIN_FIRESTAFF,https://render.albiononline.com/v1/item/T2_MAIN_FIRESTAFF,Novice's Fire Staff ,,420,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,16.0,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8.0,,,,,,,,,,
63,T2_MAIN_SWORD,https://render.albiononline.com/v1/item/T2_MAIN_SWORD,Novice's Broadsword ,,420,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16.0,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8.0,,,,,,,,,,
64,T2_MEAL_SALAD,https://render.albiononline.com/v1/item/T2_MEAL_SALAD,Bean Salad ,,56,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8.0,,,,,,,,,,
65,T2_MEAL_SALAD@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@1,Bean Salad 1,,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10.0,,,,,,,1
66,T2_MEAL_SALAD@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@2,Bean Salad 2,,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10.0,,,,,,,2
67,T2_MEAL_SALAD@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@3,Bean Salad 3,,256,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8.0,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10.0,,,,,,,3
68,T2_MEAL_SALAD_FISH,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH,Shallowshore Squid Salad ,,77,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1.0,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1.0,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1.0,,,,,,,
69,T2_MEAL_SALAD_FISH@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@1,Shallowshore Squid Salad 1,,144,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1.0,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1.0,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3.0,,,,1
70,T2_MEAL_SALAD_FISH@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@2,Shallowshore Squid Salad 2,,278,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1.0,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1.0,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3.0,,,,2
71,T2_MEAL_SALAD_FISH@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@3,Shallowshore Squid Salad 3,,678,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1.0,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1.0,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1.0,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3.0,,,,3
72,T2_MOUNT_MULE,https://render.albiononline.com/v1/item/T2_MOUNT_MULE,Novice's Mule ,,486,,,,,,,,,,,,,,,,
73,T2_OFF_BOOK,https://render.albiononline.com/v1/item/T2_OFF_BOOK,Novice's Tome of Spells ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4.0,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4.0,,,,,,,,,,
74,T2_OFF_SHIELD,https://render.albiononline.com/v1/item/T2_OFF_SHIELD,Elder's Eye of Secrets ,,140,https://render.albiononline.com/v1/item/T8_CLOTH_LEVEL4,Pristine Baroque Cloth,4.0,https://render.albiononline.com/v1/item/T8_LEATHER_LEVEL4,Pristine Fortified Leather,4.0,https://render.albiononline.com/v1/item/T8_ARTEFACT_OFF_ORB_MORGANA,Elder's Alluring Crystal,1.0,,,,,,,
75,T2_ORE,https://render.albiononline.com/v1/item/T2_ORE,Copper Ore ,,,,,,,,,,,,,,,,,,
76,T2_PLANKS,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks ,,18,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs,1.0,,,,,,,,,,,,,
77,T2_POTION_ENERGY,https://render.albiononline.com/v1/item/T2_POTION_ENERGY,Minor Energy Potion ,,56,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,8.0,,,,,,,,,,,,,
78,T2_POTION_HEAL,https://render.albiononline.com/v1/item/T2_POTION_HEAL,Exceptional Elder's Dungeon Map ,,,https://render.albiononline.com/v1/item/T8_RANDOM_DUNGEON_SOLO_TOKEN_4,Exceptional Elder's Dungeon Map (Solo),5.0,,,,,,,,,,,,,
79,T2_RANDOM_DUNGEON_SOLO_TOKEN_1,https://render.albiononline.com/v1/item/T2_RANDOM_DUNGEON_SOLO_TOKEN_1,T2_RANDOM_DUNGEON_SOLO_TOKEN_1 ,,,,,,,,,,,,,,,,,,
80,T2_ROCK,https://render.albiononline.com/v1/item/T2_ROCK,Limestone ,,,,,,,,,,,,,,,,,,
81,T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8.0,,,,,,,,,,,,,
82,T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8.0,,,,,,,,,,,,,
83,T2_SHOES_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_SHOES_LEATHER_SET1,Novice's Mercenary Shoes ,,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8.0,,,,,,,,,,,,,
84,T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8.0,,,,,,,,,,,,,
85,T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8.0,,,,,,,,,,,,,
86,T2_STONEBLOCK,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block ,,18,https://render.albiononline.com/v1/item/T2_ROCK,Limestone,1.0,,,,,,,,,,,,,
87,T2_WOOD,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs ,,,,,,,,,,,,,,,,,,
88,T3_2H_BOW,https://render.albiononline.com/v1/item/T3_2H_BOW,Journeyman's Bow ,,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,32.0,,,,,,,,,,,,,
89,T3_2H_CROSSBOW,https://render.albiononline.com/v1/item/T3_2H_CROSSBOW,Journeyman's Crossbow ,,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,20.0,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12.0,,,,,,,,,,
90,T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12.0,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20.0,,,,,,,,,,
91,T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12.0,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20.0,,,,,,,,,,
92,T3_2H_QUARTERSTAFF,https://render.albiononline.com/v1/item/T3_2H_QUARTERSTAFF,Journeyman's Quarterstaff ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12.0,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20.0,,,,,,,,,,
93,T3_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T3_2H_TOOL_AXE,Journeyman's Axe ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6.0,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2.0,,,,,,,,,,
94,T3_2H_TOOL_FISHINGROD,https://render.albiononline.com/v1/item/T3_2H_TOOL_FISHINGROD,Journeyman's Fishing Rod ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6.0,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,2.0,,,,,,,,,,
95,T3_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_HAMMER,Journeyman's Stone Hammer ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6.0,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2.0,,,,,,,,,,
96,T3_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T3_2H_TOOL_KNIFE,Journeyman's Skinning Knife ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6.0,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2.0,,,,,,,,,,
97,T3_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T3_2H_TOOL_PICK,Journeyman's Pickaxe ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6.0,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2.0,,,,,,,,,,
98,T3_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_SIEGEHAMMER,Journeyman's Demolition Hammer ,,490,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,8.0,https://render.albiononline.com/v1/item/T3_STONEBLOCK,Sandstone Block,8.0,,,,,,,,,,
99,T3_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_CLOTH_SET1,Journeyman's Scholar Robe ,,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,16.0,,,,,,,,,,,,,
100,T3_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_LEATHER_SET1,Journeyman's Mercenary Jacket ,,490,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,16.0,,,,,,,,,,,,,
101,T3_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_PLATE_SET1,Journeyman's Soldier Armor ,,490,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,16.0,,,,,,,,,,,,,
102,T3_BAG,https://render.albiononline.com/v1/item/T3_BAG,Journeyman's Bag ,,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,8.0,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,8.0,,,,,,,,,,
103,T3_CAPE,https://render.albiononline.com/v1/item/T3_CAPE,Journeyman's Cape ,,245,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,4.0,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,4.0,,,,,,,,,,
104,T3_CLOTH,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth ,,31,https://render.albiononline.com/v1/item/T3_FIBER,Flax,2.0,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,1.0,,,,,,,,,,
105,T3_COMFREY,https://render.albiononline.com/v1/item/T3_COMFREY,Brightleaf Comfrey ,,,,,,,,,,,,,,,,,,
106,T3_EGG,https://render.albiononline.com/v1/item/T3_EGG,Hen Eggs ,,,,,,,,,,,,,,,,,,
107,T3_FARM_CHICKEN_BABY,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_BABY,Baby Chickens ,5000.0,Silver,,,,,,,,,,,,,,,,
