Category_Name,Product,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount
T3_2H_TOOL_AXE,Journeyman's Axe (T3),245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,
T3_ARMOR_CLOTH_SET1,Journeyman's Scholar Robe (T3),490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,16,,,,,,
T3_ARMOR_PLATE_SET1,Journeyman's Soldier Armor (T3),490,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,16,,,,,,
T3_COMFREY,Brightleaf Comfrey (T3),,,,,,,,,,
T3_EGG,Hen Eggs (T3),,,,,,,,,,
T3_FARM_OX_BABY,Journeyman's Ox Calf (T3),,,,,,,,,,
T3_FARM_WHEAT_SEED,Wheat Seeds (T3),,,,,,,,,,
T3_HEAD_LEATHER_SET1,Journeyman's Mercenary Hood (T3),245,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,8,,,,,,
T3_MEAL_PIE_FISH,Upland Coldeye Pie (T3),1,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_MOUNTAIN_RARE,Upland Coldeye,1,https://render.albiononline.com/v1/item/T3_FLOUR,Flour,1,https://render.albiononline.com/v1/item/T3_EGG,Hen Eggs,1
T3_MEAL_SOUP,Wheat Soup (T3),FALSE,https://render.albiononline.com/v1/item/T3_WHEAT,Sheaf of Wheat,48,,,,,,
T3_MEAL_SOUP@1,Wheat Soup (T3),FALSE,https://render.albiononline.com/v1/item/T3_WHEAT,Sheaf of Wheat,48,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,30,,,
T3_MEAL_SOUP@2,Wheat Soup (T3),FALSE,https://render.albiononline.com/v1/item/T3_WHEAT,Sheaf of Wheat,48,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,30,,,
T3_MEAL_SOUP@3,Wheat Soup (T3),FALSE,https://render.albiononline.com/v1/item/T3_WHEAT,Sheaf of Wheat,48,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,30,,,
T3_MEAT,Raw Chicken (T3),20,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_GROWN,Chicken,1,,,,,,
T3_SHOES_CLOTH_SET1,Journeyman's Scholar Sandals (T3),245,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,8,,,,,,
T4_2H_CROSSBOW@4,Adept's Crossbow (T4),16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,,,
T4_2H_DOUBLEBLADEDSTAFF@1,Adept's Double Bladed Staff (T4),3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,20,,,
T4_2H_DUALHAMMER_HELL@3,Adept's Forge Hammers (T4),9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_DUALHAMMER_HELL,Adept's Hellish Hammer Heads,1
T4_2H_HAMMER,Adept's Great Hammer (T4),1715,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,12,,,
T4_2H_HAMMER@3,Adept's Great Hammer (T4),9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,
T4_2H_KNUCKLES_KEEPER@4,Adept's Ursine Maulers (T4),16085,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,20,https://render.albiononline.com/v1/item/T4_ARTEFACT_2H_KNUCKLES_KEEPER,Adept's Ursine Guardian Remains,1
T4_2H_KNUCKLES_SET1@1,Elder's Brawler Gloves (T8),28148,https://render.albiononline.com/v1/item/T8_METALBAR_LEVEL1,Uncommon Adamantium Steel Bar,12,https://render.albiononline.com/v1/item/T8_LEATHER_LEVEL1,Uncommon Fortified Leather,20,,,
T4_2H_POLEHAMMER@3,Adept's Polehammer (T4),9191,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,20,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,12,,,
T4_2H_SPEAR,Adept's Pike (T4),1715,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,12,,,
T4_2H_SPEAR@1,Adept's Pike (T4),3001,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,12,,,
T4_2H_SPEAR@2,Adept's Pike (T4),5252,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,12,,,
T4_2H_SPEAR@3,Adept's Pike (T4),9191,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,12,,,
T4_2H_SPEAR@4,Adept's Pike (T4),16085,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,20,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,12,,,
T4_2H_TOOL_AXE,Adept's Axe (T4),429,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,6,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,2,,,
T4_2H_TOOL_AXE_AVALON,Adept's Avalonian Axe (T4),429,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,6,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,2,https://render.albiononline.com/v1/item/QUESTITEM_TOKEN_AVALON,Avalonian Energy,20
T4_2H_TOOL_PICK_AVALON,Adept's Avalonian Pickaxe (T4),429,https://render.albiononline.com/v1/item/T4_PLANKS,Pine Planks,6,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,2,https://render.albiononline.com/v1/item/QUESTITEM_TOKEN_AVALON,Avalonian Energy,20
T4_ARMOR_CLOTH_SET1,Adept's Scholar Robe (T4),858,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,16,,,,,,
T4_ARMOR_CLOTH_SET1@1,Adept's Scholar Robe (T4),1501,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,16,,,,,,
T4_ARMOR_CLOTH_SET1@1,Adept's Scholar Robe (T4),2626,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,16,,,,,,
T4_ARMOR_CLOTH_SET1@2,Adept's Scholar Robe (T4),4596,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,16,,,,,,
T4_ARMOR_CLOTH_SET1@4,Adept's Scholar Robe (T4),8042,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,16,,,,,,
T4_ARMOR_PLATE_SET,Adept's Soldier Armor (T4),858,https://render.albiononline.com/v1/item/T4_METALBAR,Steel Bar,16,,,,,,
T4_ARMOR_PLATE_SET1@1,Adept's Soldier Armor (T4),1501,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,16,,,,,,
T4_ARMOR_PLATE_SET1@2,Adept's Soldier Armor (T4),2626,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,16,,,,,,
T4_ARMOR_PLATE_SET1@3,Adept's Soldier Armor (T4),4596,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,16,,,,,,
T4_ARMOR_PLATE_SET1@4,Adept's Soldier Armor (T4),8042,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,16,,,,,,
T4_ARTEFACT_2H_CLEAVER_HELL,Adept's Demonic Blade (T4),,https://render.albiononline.com/v1/item/T4_SOUL,Adept's Soul,50,,,,,,
T4_ARTEFACT_2H_COMBATSTAFF_MORGANA,Adept's Reinforced Morgana Pole (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_ARTEFACT_2H_DUALAXE_KEEPER,Adept's Keeper Axeheads (T4),,https://render.albiononline.com/v1/item/T4_RELIC,Adept's Relic,50,,,,,,
T4_ARTEFACT_2H_HALBERD_MORGANA,Adept's Morgana Halberd Head (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_ARTEFACT_ARMOR_LEATHER_UNDEAD,Adept's Ghastly Leather (T4),,https://render.albiononline.com/v1/item/T4_RELIC,Adept's Relic,50,,,,,,
T4_ARTEFACT_ARMOR_PLATE_UNDEAD,Adept's Ancient Chain Rings (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_ARTEFACT_HEAD_PLATE_UNDEAD,Adept's Ancient Padding (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_ARTEFACT_OFF_ORB_MORGANA,Adept's Alluring Crystal (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_ARTEFACT_SHOES_PLATE_UNDEAD,Adept's Ancient Bindings (T4),,https://render.albiononline.com/v1/item/T4_RUNE,Adept's Rune,50,,,,,,
T4_BURDOCK,Crenellated Burdock (T4),,,,,,,,,,
T4_CAPE@1,Adept's Cape (T4),750,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,4,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,4,,,
T4_FARM_GIANTSTAG_BABY,Adept's Fawn (T4),,,,,,,,,,
T4_FARM_OX_BABY,Adept's Ox Calf (T4),,,,,,,,,,
T4_HEAD_CLOTH_SET2@4,Adept's Cleric Cowl (T4),4021,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,8,,,,,,
T4_HEAD_CLOTH_SET3@1,Adept's Mage Cowl (T4),750,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,8,,,,,,
T4_HEAD_LEATHER_SET1@3,Adept's Mercenary Hood (T4),2298,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL3,Exceptional Worked Leather,8,,,,,,
T4_HEAD_LEATHER_SET1@4,Adept's Mercenary Hood (T4),4021,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL4,Pristine Worked Leather,8,,,,,,
T4_HEAD_LEATHER_SET2,Adept's Hunter Hood (T4),429,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,8,,,,,,
T4_HEAD_LEATHER_SET2@1,Adept's Hunter Hood (T4),750,https://render.albiononline.com/v1/item/T4_LEATHER_LEVEL1,Uncommon Worked Leather,8,,,,,,
T4_HEAD_PLATE_SET1@1,Adept's Soldier Helmet (T4),750,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,8,,,,,,
T4_LEATHER_LEVEL1,Uncommon Worked Leather (T4),94,https://render.albiononline.com/v1/item/T4_HIDE_LEVEL1,Uncommon Medium Hide,2,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,1,,,
T4_LEATHER_LEVEL2,Rare Worked Leather (T4),164,https://render.albiononline.com/v1/item/T4_HIDE_LEVEL2,Rare Medium Hide,2,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,1,,,
T4_LEATHER_LEVEL3,Exceptional Worked Leather (T4),287,https://render.albiononline.com/v1/item/T3_LEATHER,Exceptional Medium Hide,2,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,1,,,
T4_LEATHER_LEVEL4,Pristine Worked Leather (T4),503,https://render.albiononline.com/v1/item/T3_LEATHER,Pristine Medium Hide,2,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,1,,,
T4_MAIN_1HCROSSBOW@2,Adept's Light Crossbow (T4),3939,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,8,,,
T4_MAIN_ARCANESTAFF@3,Adept's Arcane Staff (T4),6893,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,8,,,
T4_MAIN_ARCANESTAFF@4,Adept's Arcane Staff (T4),12064,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,8,,,
T4_MAIN_HAMMER@2,Adept's Hammer (T4),3939,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,24,,,,,,
T4_MAIN_HAMMER@3,Adept's Hammer (T4),6893,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,24,,,,,,
T4_MAIN_HAMMER@4,Adept's Hammer (T4),12064,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,24,,,,,,
T4_MAIN_MACE@1,Adept's Mace (T4),2251,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,16,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,8,,,
T4_MAIN_SPEAR_KEEPER@1,Adept's Heron Spear (T4),2251,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL1,Uncommon Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL1,Uncommon Steel Bar,8,https://render.albiononline.com/v1/item/T4_ARTEFACT_MAIN_SPEAR_KEEPER,Adept's Keeper Spearhead,1
T4_MAIN_SPEAR_KEEPER@2,Adept's Heron Spear (T4),3939,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL2,Rare Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL2,Rare Steel Bar,8,https://render.albiononline.com/v1/item/T4_ARTEFACT_MAIN_SPEAR_KEEPER,Adept's Keeper Spearhead,1
T4_MAIN_SPEAR_KEEPER@3,Adept's Heron Spear (T4),6893,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,8,https://render.albiononline.com/v1/item/T4_ARTEFACT_MAIN_SPEAR_KEEPER,Adept's Keeper Spearhead,1
T4_MAIN_SPEAR_KEEPER@4,Adept's Heron Spear (T4),12064,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL4,Pristine Pine Planks,16,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL4,Pristine Steel Bar,8,https://render.albiononline.com/v1/item/T4_ARTEFACT_MAIN_SPEAR_KEEPER,Adept's Keeper Spearhead,1
T4_MEAT,Raw Goat (T4),20,https://render.albiononline.com/v1/item/T4_FARM_GOAT_GROWN,Goat,1,,,,,,
T4_MILK,Goat's Milk (T4),,,,,,,,,,
T4_OFF_BOOK,Adept's Tome of Spells (T4),429,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,4,https://render.albiononline.com/v1/item/T4_LEATHER,Worked Leather,4,,,
T4_OFF_TALISMAN_AVALON@3,Adept's Sacred Scepter (T4),2298,https://render.albiononline.com/v1/item/T4_PLANKS_LEVEL3,Exceptional Pine Planks,4,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,4,https://render.albiononline.com/v1/item/T4_ARTEFACT_OFF_TALISMAN_AVALON,Adept's Shattered Avalonian Memento,1
T4_ORE_LEVEL1,Uncommon Iron Ore (T4),0,https://render.albiononline.com/v1/item/T4_ORE,Iron Ore,1,,,,,,
T4_RUNE,Adept's Rune (T4),,https://render.albiononline.com/v1/item/T4_ESSENCE_POTION,Adept's Arcane Essence,20,,,,,,
T4_SHOES_CLOTH_KEEPER,Adept's Druid Sandals (T4),429,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,8,https://render.albiononline.com/v1/item/T4_ARTEFACT_SHOES_CLOTH_KEEPER,Adept's Druidic Bindings,1,,,
T4_SHOES_CLOTH_SET1,Adept's Scholar Sandals (T4),429,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET1@1,Adept's Scholar Sandals (T4),750,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET1@2,Adept's Scholar Sandals (T4),1313,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET1@3,Adept's Scholar Sandals (T4),2298,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET1@4,Adept's Scholar Sandals (T4),4021,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2,Adept's Cleric Sandals (T4),429,https://render.albiononline.com/v1/item/T4_CLOTH,Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2@1,Adept's Cleric Sandals (T4),750,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL1,Uncommon Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2@2,Adept's Cleric Sandals (T4),1313,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL2,Rare Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2@2,Elder's Cleric Sandals (T8),12315,https://render.albiononline.com/v1/item/T8_CLOTH_LEVEL2,Rare Baroque Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2@3,Adept's Cleric Sandals (T4),2298,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL3,Exceptional Fine Cloth,8,,,,,,
T4_SHOES_CLOTH_SET2@4,Adept's Cleric Sandals (T4),4021,https://render.albiononline.com/v1/item/T4_CLOTH_LEVEL4,Pristine Fine Cloth,8,,,,,,
T4_SHOES_PLATE_SET1@3,Adept's Soldier Boots (T4),2298,https://render.albiononline.com/v1/item/T4_METALBAR_LEVEL3,Exceptional Steel Bar,8,,,,,,
T4_TURNIP,Turnips (T4),,,,,,,,,,
T5_2H_ARCANESTAFF_HELL@3,Expert's Occult Staff (T5),16085,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL3,Exceptional Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL3,Exceptional Titanium Steel Bar,12,https://render.albiononline.com/v1/item/T5_ARTEFACT_2H_ARCANESTAFF_HELL,Expert's Occult Orb,1
T5_2H_ARCANESTAFF_HELL@4,Expert's Occult Staff (T5),28148,https://render.albiononline.com/v1/item/T5_ARTEFACT_2H_ARCANESTAFF_HELL,Pristine Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL4,Pristine Titanium Steel Bar,12,https://render.albiononline.com/v1/item/T5_ARTEFACT_2H_ARCANESTAFF_HELL,Expert's Occult Orb,1
T5_2H_FLAIL,Expert's Morning Star (T5),3001,https://render.albiononline.com/v1/item/T5_METALBAR,Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH,Ornate Cloth,12,,,
T5_2H_GLACIALSTAFF@4,Expert's Glacial Staff (T5),28148,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL4,Pristine Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL4,Pristine Titanium Steel Bar,12,,,
T5_2H_HAMMER@1,Expert's Great Hammer (T5),5252,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL1,Uncommon Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL1,Uncommon Ornate Cloth,12,,,
T5_2H_HAMMER@2,Expert's Great Hammer (T5),9191,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL2,Rare Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL2,Rare Ornate Cloth,12,,,
T5_2H_HAMMER@3,Expert's Great Hammer (T5),16085,https://albiononline2d.com/en/item/id/T5_METALBAR_LEVEL3,Exceptional Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL3,Exceptional Ornate Cloth,12,,,
T5_2H_HAMMER@4,Expert's Great Hammer (T5),28148,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL4,Pristine Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL4,Pristine Ornate Cloth,12,,,
T5_2H_KNUCKLES_SET3@4,Expert's Spiked Gauntlets (T5),28148,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL4,Pristine Titanium Steel Bar,12,https://render.albiononline.com/v1/item/T5_LEATHER_LEVEL4,Pristine Cured Leather,20,,,
T5_2H_POLEHAMMER@2,Expert's Polehammer (T5),9191,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL2,Rare Titanium Steel Bar,20,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL2,Rare Ornate Cloth,12,,,
T5_2H_SPEAR,Expert's Pike (T5),3001,https://render.albiononline.com/v1/item/T5_PLANKS,Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR,Titanium Steel Bar,12,,,
T5_2H_SPEAR@1,Expert's Pike (T5),5252,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL1,Uncommon Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL1,Uncommon Titanium Steel Bar,12,,,
T5_2H_SPEAR@2,Expert's Pike (T5),9191,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL2,Rare Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL2,Rare Titanium Steel Bar,12,,,
T5_2H_SPEAR@3,Expert's Pike (T5),16085,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL3,Exceptional Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL3,Exceptional Titanium Steel Bar,12,,,
T5_2H_SPEAR@4,Expert's Pike (T5),28148,https://render.albiononline.com/v1/item/T5_PLANKS_LEVEL4,Pristine Cedar Planks,20,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL4,Pristine Titanium Steel Bar,12,,,
T5_2H_TOOL_AXE,Expert's Axe (T5),750,https://render.albiononline.com/v1/item/T5_PLANKS,Cedar Planks,6,https://render.albiononline.com/v1/item/T5_METALBAR,Titanium Steel Bar,2,,,
T5_2H_TOOL_AXE_AVALON,Expert's Avalonian Axe (T5),750,https://render.albiononline.com/v1/item/T5_PLANKS,Cedar Planks,6,https://render.albiononline.com/v1/item/T5_METALBAR,Titanium Steel Bar,2,https://render.albiononline.com/v1/item/QUESTITEM_TOKEN_AVALON,Avalonian Energy,90
T5_2H_TWINSCYTHE_HELL@2,Expert's Soulscythe (T5),9191,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL2,Rare Titanium Steel Bar,12,https://render.albiononline.com/v1/item/T5_LEATHER_LEVEL2,Rare Cured Leather,20,https://render.albiononline.com/v1/item/T5_ARTEFACT_2H_TWINSCYTHE_HELL,Expert's Hellish Sicklehead Pair,1
T5_ARMOR_CLOTH_HELL,Expert's Fiend Robe (T5),4596,https://render.albiononline.com/v1/item/T5_CLOTH_LEVEL2,Rare Ornate Cloth,16,https://render.albiononline.com/v1/item/T5_ARTEFACT_ARMOR_CLOTH_HELL,Expert's Infernal Cloth Folds,1,,,
T5_ARMOR_LEATHER_MORGANA@2,Expert's Stalker Jacket (T5),4596,https://render.albiononline.com/v1/item/T5_LEATHER_LEVEL2,Rare Cured Leather,16,https://render.albiononline.com/v1/item/T5_ARTEFACT_ARMOR_LEATHER_MORGANA,Expert's Imbued Leather Folds,1,,,
T5_ARMOR_LEATHER_SET1@2,Expert's Mercenary Jacket (T5),4596,https://render.albiononline.com/v1/item/T5_LEATHER_LEVEL2,Rare Cured Leather,16,,,,,,
T5_ARMOR_PLATE_SET1,Expert's Soldier Armor (T5),1501,https://render.albiononline.com/v1/item/T5_METALBAR,Titanium Steel Bar,16,,,,,,
T5_ARMOR_PLATE_SET1@1,Expert's Soldier Armor (T5),2626,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL1,Uncommon Titanium Steel Bar,16,,,,,,
T5_ARMOR_PLATE_SET1@2,Expert's Soldier Armor (T5),4596,,Rare Titanium Steel Bar,16,,,,,,
T5_ARMOR_PLATE_SET1@3,Expert's Soldier Armor (T5),8042,https://render.albiononline.com/v1/item/T5_METALBAR_LEVEL3,Exceptional Titanium Steel Bar,16,,,,,,
