,Page_URL,Text,Crafting_Focus,,
T1_2H_TOOL_KNIFE,https://albiononline2d.com/en/item/id/T1_2H_TOOL_KNIFE,Crafting Requirements (2),0,,
T4_2H_CURSEDSTAFF@4,https://albiononline2d.com/en/item/id/T4_2H_CURSEDSTAFF@4,Crafting Requirements (2),16085,,
T4_2H_WARBOW@3,https://albiononline2d.com/en/item/id/T4_2H_WARBOW@3,Crafting Requirements (1),9191,,
T4_ARMOR_LEATHER_SET2@4,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET2@4,Crafting Requirements (1),8042,,
T4_ARTEFACT_2H_IRONGAUNTLETS_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_IRONGAUNTLETS_HELL,Crafting Requirements (1),,,
T4_2H_HAMMER_UNDEAD@1,https://albiononline2d.com/en/item/id/T4_2H_HAMMER_UNDEAD@1,Crafting Requirements (3),3001,,
T4_2H_ARCANESTAFF_HELL@4,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF_HELL@4,Crafting Requirements (3),16085,,
T2_MOUNT_MULE,https://albiononline2d.com/en/item/id/T2_MOUNT_MULE,Crafting Requirements (0),486,,
T4_2H_FIRESTAFF@3,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF@3,Crafting Requirements (2),9191,,
T4_ARTEFACT_2H_MACE_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_MACE_MORGANA,Crafting Requirements (1),,,
T1_2H_TOOL_PICK,https://albiononline2d.com/en/item/id/T1_2H_TOOL_PICK,Crafting Requirements (2),0,,
T2_OFF_BOOK,https://albiononline2d.com/en/item/id/T2_OFF_BOOK,Crafting Requirements (2),140,,
T3_HEAD_LEATHER_SET1,https://albiononline2d.com/en/item/id/T3_HEAD_LEATHER_SET1,Crafting Requirements (1),245,,
T4_2H_DAGGERPAIR,https://albiononline2d.com/en/item/id/T4_2H_DAGGERPAIR,Crafting Requirements (2),1715,,
T4_2H_KNUCKLES_SET1@2,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET1@2,Crafting Requirements (2),5252,,
T4_2H_FIRESTAFF@4,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF@4,Crafting Requirements (2),16085,,
T4_ARTEFACT_2H_NATURESTAFF_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_NATURESTAFF_HELL,Crafting Requirements (1),,,
T4_2H_HAMMER_UNDEAD@2,https://albiononline2d.com/en/item/id/T4_2H_HAMMER_UNDEAD@2,Crafting Requirements (3),5252,,
T2_OFF_SHIELD,https://albiononline2d.com/en/item/id/T2_OFF_SHIELD,Crafting Requirements (2),140,,
T1_ARMOR_LEATHER_SET1,https://albiononline2d.com/en/item/id/T1_ARMOR_LEATHER_SET1,Crafting Requirements (1),0,,
,https://albiononline2d.com/en/item/id/T2_ORE,Used In (1),,,
T4_ARTEFACT_2H_NATURESTAFF_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_NATURESTAFF_KEEPER,Crafting Requirements (1),,,
T4_2H_AXE,https://albiononline2d.com/en/item/id/T4_2H_AXE,Crafting Requirements (2),1715,,
,https://albiononline2d.com/en/item/id/T1_CARROT,Used In (32),,,
T4_2H_POLEHAMMER,https://albiononline2d.com/en/item/id/T4_2H_POLEHAMMER,Crafting Requirements (2),1715,,
T4_ARMOR_LEATHER_SET3,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET3,Crafting Requirements (1),858,,
T4_2H_FIRESTAFF_HELL,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF_HELL,Crafting Requirements (3),1715,,
T4_2H_WARBOW@4,https://albiononline2d.com/en/item/id/T4_2H_WARBOW@4,Crafting Requirements (1),16085,,
T2_POTION_HEAL,https://albiononline2d.com/en/item/id/T2_POTION_HEAL,Crafting Requirements (1),FALSE,,
T4_2H_KNUCKLES_SET1@3,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET1@3,Crafting Requirements (2),9191,,
T4_ARTEFACT_2H_QUARTERSTAFF_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_QUARTERSTAFF_AVALON,Crafting Requirements (1),,,
T4_2H_DAGGERPAIR@1,https://albiononline2d.com/en/item/id/T4_2H_DAGGERPAIR@1,Crafting Requirements (2),3001,,
,https://albiononline2d.com/en/item/id/T2_RANDOM_DUNGEON_SOLO_TOKEN_1,Buffs,,,
T4_HEAD_PLATE_SET2@4,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET2@4,Crafting Requirements (1),4021,,
T4_HEAD_CLOTH_SET2@2,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET2@2,Crafting Requirements (1),1313,,
T1_FACTION_FOREST_TOKEN_1,https://albiononline2d.com/en/item/id/T1_FACTION_FOREST_TOKEN_1,Crafting Requirements (0),,,
T4_ARTEFACT_2H_RAM_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_RAM_KEEPER,Crafting Requirements (1),,,
T4_CAPEITEM_FW_LYMHURST,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_LYMHURST,Crafting Requirements (3),0,,
,https://albiononline2d.com/en/item/id/T2_ROCK,Used In (1),,,
T4_ARTEFACT_MAIN_SPEAR_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_MAIN_SPEAR_KEEPER,Crafting Requirements (1),,,
T4_HEAD_PLATE_SET3,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET3,Crafting Requirements (1),429,,
T4_2H_HAMMER_UNDEAD@3,https://albiononline2d.com/en/item/id/T4_2H_HAMMER_UNDEAD@3,Crafting Requirements (3),9191,,
T3_HEAD_PLATE_SET1,https://albiononline2d.com/en/item/id/T3_HEAD_PLATE_SET1,Crafting Requirements (1),245,,
T4_2H_FIRESTAFF_HELL@1,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF_HELL@1,Crafting Requirements (3),3001,,
T4_2H_KNUCKLES_SET1@4,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET1@4,Crafting Requirements (2),16085,,
T4_HEAD_CLOTH_SET2@3,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET2@3,Crafting Requirements (1),2298,,
T1_FACTION_STEPPE_TOKEN_1,https://albiononline2d.com/en/item/id/T1_FACTION_STEPPE_TOKEN_1,Crafting Requirements (0),,,
T4_ARTEFACT_2H_ROCKSTAFF_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_ROCKSTAFF_KEEPER,Crafting Requirements (1),,,
T4_2H_AXE@1,https://albiononline2d.com/en/item/id/T4_2H_AXE@1,Crafting Requirements (2),3001,,
T4_HEAD_PLATE_SET3@1,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET3@1,Crafting Requirements (1),750,,
T4_2H_DAGGERPAIR@2,https://albiononline2d.com/en/item/id/T4_2H_DAGGERPAIR@2,Crafting Requirements (2),5252,,
T4_CAPEITEM_FW_LYMHURST@1,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_LYMHURST@1,Crafting Requirements (3),0,,
T2_SHOES_CLOTH_SET1,https://albiononline2d.com/en/item/id/T2_SHOES_CLOTH_SET1,Crafting Requirements (1),140,,
T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON,Crafting Requirements (1),,,
T4_2H_WILDSTAFF,https://albiononline2d.com/en/item/id/T4_2H_WILDSTAFF,Crafting Requirements (2),1715,,
T4_HEAD_PLATE_SET3@2,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET3@2,Crafting Requirements (1),1313,,
T4_ARTEFACT_2H_SCYTHE_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_SCYTHE_HELL,Crafting Requirements (1),,,
T4_HEAD_CLOTH_SET3,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET3,Crafting Requirements (1),429,,
T1_FACTION_SWAMP_TOKEN_1,https://albiononline2d.com/en/item/id/T1_FACTION_SWAMP_TOKEN_1,Crafting Requirements (0),,,
T4_ARMOR_LEATHER_SET3@1,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET3@1,Crafting Requirements (1),1501,,
,https://albiononline2d.com/en/item/id/T3_HIDE,Used In (1),,,
T4_2H_FIRESTAFF_HELL@2,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF_HELL@2,Crafting Requirements (3),5252,,
T4_HEAD_PLATE_SET3@3,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET3@3,Crafting Requirements (1),2298,,
T2_SHOES_LEATHER_SET1,https://albiononline2d.com/en/item/id/T2_SHOES_LEATHER_SET1,Crafting Requirements (1),140,,
T4_ARTEFACT_2H_SKULLORB_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_SKULLORB_HELL,Crafting Requirements (1),,,
T4_HEAD_CLOTH_SET3@2,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET3@2,Crafting Requirements (1),1313,,
T4_ARTEFACT_OFF_CENSER_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_CENSER_AVALON,Crafting Requirements (1),,,
T4_2H_DAGGERPAIR@3,https://albiononline2d.com/en/item/id/T4_2H_DAGGERPAIR@3,Crafting Requirements (2),9191,,
T4_2H_HAMMER_UNDEAD@4,https://albiononline2d.com/en/item/id/T4_2H_HAMMER_UNDEAD@4,Crafting Requirements (3),16085,,
T4_2H_FIRESTAFF_HELL@3,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF_HELL@3,Crafting Requirements (3),9191,,
T1_FARM_CARROT_SEED,https://albiononline2d.com/en/item/id/T1_FARM_CARROT_SEED,Crafting Requirements (0),TRUE,,
T4_CAPEITEM_FW_LYMHURST@2,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_LYMHURST@2,Crafting Requirements (3),0,,
T4_HEAD_PLATE_SET3@4,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_SET3@4,Crafting Requirements (1),4021,,
T4_ARTEFACT_2H_TRIDENT_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_TRIDENT_UNDEAD,Crafting Requirements (1),,,
,https://albiononline2d.com/en/item/id/T1_FISH_FRESHWATER_ALL_COMMON,Used In (1),,,
T4_2H_AXE@2,https://albiononline2d.com/en/item/id/T4_2H_AXE@2,Crafting Requirements (2),5252,,
,https://albiononline2d.com/en/item/id/T1_FISH_SALTWATER_ALL_COMMON,Used In (1),,,
T2_SHOES_PLATE_SET1,https://albiononline2d.com/en/item/id/T2_SHOES_PLATE_SET1,Crafting Requirements (1),140,,
T4_HEAD_CLOTH_SET3@3,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET3@3,Crafting Requirements (1),2298,,
T4_2H_KNUCKLES_SET2,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET2,Crafting Requirements (2),1715,,
T4_HEAD_PLATE_UNDEAD,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_UNDEAD,Crafting Requirements (2),429,,
T4_ARTEFACT_OFF_DEMONSKULL_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_DEMONSKULL_HELL,Crafting Requirements (1),,,
T4_2H_POLEHAMMER@1,https://albiononline2d.com/en/item/id/T4_2H_POLEHAMMER@1,Crafting Requirements (2),3001,,
T4_2H_HARPOON_HELL,https://albiononline2d.com/en/item/id/T4_2H_HARPOON_HELL,Crafting Requirements (3),1715,,
T4_ARTEFACT_2H_TWINSCYTHE_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_TWINSCYTHE_HELL,Crafting Requirements (1),,,
,https://albiononline2d.com/en/item/id/T2_WOOD,Used In (1),,,
T4_2H_DAGGERPAIR@4,https://albiononline2d.com/en/item/id/T4_2H_DAGGERPAIR@4,Crafting Requirements (2),16085,,
T4_CAPEITEM_FW_LYMHURST@3,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_LYMHURST@3,Crafting Requirements (3),0,,
T4_2H_FIRESTAFF_HELL@4,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF_HELL@4,Crafting Requirements (3),16085,,
T4_HEAD_PLATE_UNDEAD@1,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_UNDEAD@1,Crafting Requirements (2),750,,
T4_HEAD_CLOTH_SET3@4,https://albiononline2d.com/en/item/id/T4_HEAD_CLOTH_SET3@4,Crafting Requirements (1),4021,,
T4_2H_WILDSTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_WILDSTAFF@1,Crafting Requirements (2),3001,,
T4_ARTEFACT_ARMOR_LEATHER_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_LEATHER_HELL,Crafting Requirements (1),,,
T3_MAIN_ARCANESTAFF,https://albiononline2d.com/en/item/id/T3_MAIN_ARCANESTAFF,Crafting Requirements (2),735,,
T1_FISHCHOPS,https://albiononline2d.com/en/item/id/T1_FISHCHOPS,Crafting Requirements (1),,,
T4_ARMOR_LEATHER_SET3@2,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET3@2,Crafting Requirements (1),2626,,
T3_2H_BOW,https://albiononline2d.com/en/item/id/T3_2H_BOW,Crafting Requirements (1),980,,
T4_2H_HARPOON_HELL@1,https://albiononline2d.com/en/item/id/T4_2H_HARPOON_HELL@1,Crafting Requirements (3),3001,,
T4_ARTEFACT_OFF_HORN_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_HORN_KEEPER,Crafting Requirements (1),,,
T4_2H_KNUCKLES_SET2@1,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET2@1,Crafting Requirements (2),3001,,
T4_HEAD_PLATE_UNDEAD@2,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_UNDEAD@2,Crafting Requirements (2),1313,,
T4_HEAD_LEATHER_HELL,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_HELL,Crafting Requirements (2),429,,
T4_CAPEITEM_FW_LYMHURST@4,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_LYMHURST@4,Crafting Requirements (3),0,,
T1_FISHINGBAIT,https://albiononline2d.com/en/item/id/T1_FISHINGBAIT,Crafting Requirements (1),,,
T4_2H_DEMONICSTAFF,https://albiononline2d.com/en/item/id/T4_2H_DEMONICSTAFF,Crafting Requirements (2),1715,,
T3_2H_CROSSBOW,https://albiononline2d.com/en/item/id/T3_2H_CROSSBOW,Crafting Requirements (2),980,,
T4_ARTEFACT_ARMOR_LEATHER_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_LEATHER_MORGANA,Crafting Requirements (1),,,
T4_HEAD_LEATHER_HELL@1,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_HELL@1,Crafting Requirements (2),750,,
T4_HEAD_PLATE_UNDEAD@3,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_UNDEAD@3,Crafting Requirements (2),2298,,
T4_2H_HARPOON_HELL@2,https://albiononline2d.com/en/item/id/T4_2H_HARPOON_HELL@2,Crafting Requirements (3),5252,,
T4_2H_FLAIL,https://albiononline2d.com/en/item/id/T4_2H_FLAIL,Crafting Requirements (2),1715,,
T4_ARTEFACT_OFF_JESTERCANE_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_JESTERCANE_HELL,Crafting Requirements (1),,,
T4_2H_AXE@3,https://albiononline2d.com/en/item/id/T4_2H_AXE@3,Crafting Requirements (2),9191,,
T4_ARTEFACT_ARMOR_LEATHER_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_LEATHER_UNDEAD,Crafting Requirements (1),,,
T1_FISHSAUCE_LEVEL1,https://albiononline2d.com/en/item/id/T1_FISHSAUCE_LEVEL1,Crafting Requirements (2),,,
T4_HEAD_LEATHER_HELL@2,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_HELL@2,Crafting Requirements (2),1313,,
T3_MAIN_AXE,https://albiononline2d.com/en/item/id/T3_MAIN_AXE,Crafting Requirements (2),735,,
T4_CAPEITEM_FW_MARTLOCK,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_MARTLOCK,Crafting Requirements (3),0,,
T3_2H_KNUCKLES_SET1,https://albiononline2d.com/en/item/id/T3_2H_KNUCKLES_SET1,Crafting Requirements (2),980,,
T4_HEAD_PLATE_UNDEAD@4,https://albiononline2d.com/en/item/id/T4_HEAD_PLATE_UNDEAD@4,Crafting Requirements (2),4021,,
,https://albiononline2d.com/en/item/id/T4_HIDE,Used In (3),,,
T4_ARTEFACT_ARMOR_PLATE_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_PLATE_AVALON,Crafting Requirements (1),,,
T4_2H_HARPOON_HELL@3,https://albiononline2d.com/en/item/id/T4_2H_HARPOON_HELL@3,Crafting Requirements (3),9191,,
T4_2H_DEMONICSTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_DEMONICSTAFF@1,Crafting Requirements (2),3001,,
T4_2H_WILDSTAFF@2,https://albiononline2d.com/en/item/id/T4_2H_WILDSTAFF@2,Crafting Requirements (2),5252,,
T4_HEAD_LEATHER_HELL@3,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_HELL@3,Crafting Requirements (2),2298,,
T4_ARTEFACT_OFF_LAMP_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_LAMP_UNDEAD,Crafting Requirements (1),,,
T4_ARMOR_LEATHER_SET3@3,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET3@3,Crafting Requirements (1),4596,,
T1_FISHSAUCE_LEVEL2,https://albiononline2d.com/en/item/id/T1_FISHSAUCE_LEVEL2,Crafting Requirements (2),,,
T4_2H_POLEHAMMER@2,https://albiononline2d.com/en/item/id/T4_2H_POLEHAMMER@2,Crafting Requirements (2),5252,,
T4_ARTEFACT_ARMOR_PLATE_FEY,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_PLATE_FEY,Crafting Requirements (1),,,
T4_CAPEITEM_FW_MARTLOCK@1,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_MARTLOCK@1,Crafting Requirements (3),0,,
T4_2H_KNUCKLES_SET2@2,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET2@2,Crafting Requirements (2),5252,,
T4_2H_FLAIL@1,https://albiononline2d.com/en/item/id/T4_2H_FLAIL@1,Crafting Requirements (2),3001,,
T4_HEAD_LEATHER_HELL@4,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_HELL@4,Crafting Requirements (2),4021,,
T4_HIDE_LEVEL1,https://albiononline2d.com/en/item/id/T4_HIDE_LEVEL1,Crafting Requirements (1),0,,
T4_2H_AXE@4,https://albiononline2d.com/en/item/id/T4_2H_AXE@4,Crafting Requirements (2),16085,,
T3_2H_QUARTERSTAFF,https://albiononline2d.com/en/item/id/T3_2H_QUARTERSTAFF,Crafting Requirements (2),980,,
T4_ARTEFACT_OFF_ORB_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_ORB_MORGANA,Crafting Requirements (1),,,
T4_ARTEFACT_ARMOR_PLATE_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_PLATE_HELL,Crafting Requirements (1),,,
T4_HEAD_LEATHER_MORGANA,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_MORGANA,Crafting Requirements (2),429,,
T1_FISHSAUCE_LEVEL3,https://albiononline2d.com/en/item/id/T1_FISHSAUCE_LEVEL3,Crafting Requirements (2),,,
T3_MAIN_CURSEDSTAFF,https://albiononline2d.com/en/item/id/T3_MAIN_CURSEDSTAFF,Crafting Requirements (2),735,,
T4_2H_HARPOON_HELL@4,https://albiononline2d.com/en/item/id/T4_2H_HARPOON_HELL@4,Crafting Requirements (3),9191,,
T4_2H_DEMONICSTAFF@2,https://albiononline2d.com/en/item/id/T4_2H_DEMONICSTAFF@2,Crafting Requirements (2),,,
T4_CAPEITEM_FW_MARTLOCK@2,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_MARTLOCK@2,Crafting Requirements (3),0,,
T3_2H_TOOL_FISHINGROD,https://albiononline2d.com/en/item/id/T3_2H_TOOL_FISHINGROD,Crafting Requirements (2),245,,
T4_ARTEFACT_ARMOR_PLATE_KEEPER,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_PLATE_KEEPER,Crafting Requirements (1),,,
T4_HIDE_LEVEL2,https://albiononline2d.com/en/item/id/T4_HIDE_LEVEL2,Crafting Requirements (1),0,,
T4_2H_FLAIL@2,https://albiononline2d.com/en/item/id/T4_2H_FLAIL@2,Crafting Requirements (2),5252,,
T4_HEAD_LEATHER_MORGANA@1,https://albiononline2d.com/en/item/id/T4_HEAD_LEATHER_MORGANA@1,Crafting Requirements (2),750,,
T4_2H_WILDSTAFF@3,https://albiononline2d.com/en/item/id/T4_2H_WILDSTAFF@3,Crafting Requirements (2),5252,,
T4_ARTEFACT_OFF_SHIELD_AVALON,https://albiononline2d.com/en/item/id/T4_ARTEFACT_OFF_SHIELD_AVALON,Crafting Requirements (1),,,
T4_2H_HOLYSTAFF,https://albiononline2d.com/en/item/id/T4_2H_HOLYSTAFF,Crafting Requirements (2),16085,,
T4_2H_DEMONICSTAFF@3,https://albiononline2d.com/en/item/id/T4_2H_DEMONICSTAFF@3,Crafting Requirements (2),5252,,
T4_2H_KNUCKLES_SET2@3,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET2@3,Crafting Requirements (2),9191,,
T4_ARTEFACT_ARMOR_PLATE_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_ARMOR_PLATE_UNDEAD,Crafting Requirements (1),,,
T1_HEAD_LEATHER_SET1,https://albiononline2d.com/en/item/id/T1_HEAD_LEATHER_SET1,Crafting Requirements (1),0,,
T4_2H_HOLYSTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_HOLYSTAFF@1,Crafting Requirements (2),1715,,
T4_2H_FLAIL@3,https://albiononline2d.com/en/item/id/T4_2H_FLAIL@3,Crafting Requirements (2),9191,,
T3_2H_TOOL_HAMMER,https://albiononline2d.com/en/item/id/T3_2H_TOOL_HAMMER,Crafting Requirements (2),245,,
T4_HIDE_LEVEL3,https://albiononline2d.com/en/item/id/T4_HIDE_LEVEL3,Crafting Requirements (1),0,,
T4_CAPEITEM_FW_MARTLOCK@3,https://albiononline2d.com/en/item/id/T4_CAPEITEM_FW_MARTLOCK@3,Crafting Requirements (3),0,,
T4_ARMOR_LEATHER_SET3@4,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET3@4,Crafting Requirements (1),8042,,
