Category_Name,Category_Images,Product,Silver_Cost,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount
T1_FARM_CARROT_SEED,https://render.albiononline.com/v1/item/T1_FARM_CARROT_SEED,Carrot Seeds (T1),2000,Silver,,,,,,,,,,,,,,,
T1_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd (T1),,NA,,,,,,,,,,,,,,,
T1_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_SALTWATER_ALL_COMMON,Common Herring (T1),,NA,,,,,,,,,,,,,,,
T1_FISHCHOPS,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish (T1),,NA,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd,1,,,,,,,,,,,,
T1_FISHINGBAIT,https://render.albiononline.com/v1/item/T1_FISHINGBAIT,Simple Fish Bait (T1),,NA,https://render.albiononline.com/v1/item/T1_WORM,Earthworm,1,,,,,,,,,,,,
T1_FISHSAUCE_LEVEL1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce (T1),,NA,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,15,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,1,,,,,,,,,
T1_FISHSAUCE_LEVEL2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce (T1),,NA,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,45,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,3,,,,,,,,,
T1_FISHSAUCE_LEVEL3,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce (T1),,NA,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,135,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,9,,,,,,,,,
T1_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T1_HEAD_LEATHER_SET1,Beginner's Mercenary Hood (T1),,NA,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,4,,,,,,,,,,,,
T1_HIDE,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide (T1),,NA,,,,,,,,,,,,,,,
T1_MAIN_SWORD,https://render.albiononline.com/v1/item/T1_MAIN_SWORD,Beginner's Broadsword (T1),,NA,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,6,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,6,,,,,,,,,
T1_MEAL_GRILLEDFISH,https://render.albiononline.com/v1/item/T1_MEAL_GRILLEDFISH,Grilled Fish (T1),,15,,,,,,,,,,,,,,,
T1_MEAL_SEAWEEDSALAD,https://render.albiononline.com/v1/item/T1_MEAL_SEAWEEDSALAD,Seaweed Salad (T1),,4,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,10,,,,,,,,,,,,
T1_MEAL_SOUP,https://render.albiononline.com/v1/item/T1_MEAL_SOUP,Carrot Soup (T1),,56,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,,,,,,,,,,,,
T1_MEAL_SOUP@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@1,Carrot Soup (T1),,78,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10,,,,,,,,,
T1_MEAL_SOUP@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@2,Carrot Soup (T1),,123,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10,,,,,,,,,
T1_MEAL_SOUP@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@3,Carrot Soup (T1),,256,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10,,,,,,,,,
T1_MEAL_SOUP_FISH,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH,Greenmoor Clam Soup (T1),,77,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,,,,,,,,,
T1_MEAL_SOUP_FISH@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@1,Greenmoor Clam Soup (T1),,144,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3,,,,,,
T1_MEAL_SOUP_FISH@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@2,Greenmoor Clam Soup (T1),,278,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3,,,,,,
T1_MEAL_SOUP_FISH@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@3,Greenmoor Clam Soup (T1),,678,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3,,,,,,
T1_OFF_SHIELD,https://render.albiononline.com/v1/item/T1_OFF_SHIELD,Beginner's Shield (T1),,NA,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,4,,,,,,,0,0,0,,,
T1_ROCK,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone (T1),,NA,,,,,,,,,,0,0,0,,,
T1_SEAWEED,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed (T1),,NA,,,,,,,,,,,,,,,
T1_SHOES_LEATHER_SET1,﻿https://render.albiononline.com/v1/item/T1_SHOES_LEATHER_SET1,Beginner's Mercenary Shoes (T1),,NA,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,6,,,,,,,,,,,,
T1_WOOD,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs (T1),,NA,,,,,,,,,,0,0,0,,,
T1_WORM,https://render.albiononline.com/v1/item/T1_WORM,Earthworm (T1),,NA,,,,,,,,,,,,,,,
T2_2H_BOW,https://render.albiononline.com/v1/item/T2_2H_BOW,Novice's Bow (T2),,560,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,32,,,,,,,,,,,,
T2_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T2_2H_TOOL_AXE,Novice's Axe (T2),,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
T2_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_HAMMER,Novice's Stone Hammer (T2),,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
T2_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T2_2H_TOOL_KNIFE,Novice's Skinning Knife (T2),,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe (T2),,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe (T2),,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
T2_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_SIEGEHAMMER,Novice's Demolition Hammer (T2),,280,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,12,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block,12,,,,,,,,,
T2_AGARIC,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric (T2),,NA,,,,,,,,,,,,,,,
T2_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_CLOTH_SET1,Novice's Scholar Robe (T2),,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,16,,,,,,,,,,,,
T2_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_LEATHER_SET1,Novice's Mercenary Jacket (T2),,280,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,16,,,,,,,,,,,,
T2_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_PLATE_SET1,Novice's Soldier Armor (T2),,280,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16,,,,,,,,,,,,
T2_BAG,https://render.albiononline.com/v1/item/T2_BAG,Novice's Bag (T2),,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,12,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,12,,,,,,,,,
T2_BEAN,https://render.albiononline.com/v1/item/T2_BEAN,Beans (T2),,NA,,,,,,,,,,,,,,,
T2_CAPE,https://render.albiononline.com/v1/item/T2_CAPE,Novice's Cape (T2),,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4,,,,,,,,,
T2_CLOTH,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth (T2),,18,https://render.albiononline.com/v1/item/T2_FIBER,Cotton,1,,,,,,,,,,,,
T2_FARM_AGARIC_SEED,https://render.albiononline.com/v1/item/T2_FARM_AGARIC_SEED,Arcane Agaric Seeds (T2),3000,Silver,,,,,,,,,,,,,,,
T2_FARM_BEAN_SEED,https://render.albiononline.com/v1/item/T2_FARM_BEAN_SEED,Carrot Seeds (T1),3000,Silver,,,,,,,,,,,,,,,
T2_FIBER,https://render.albiononline.com/v1/item/T2_FIBER,Cotton (T2),,NA,,,,,,,,,,,,,,,
T2_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_FRESHWATER_ALL_COMMON,Striped Carp (T2),,NA,,,,,,,,,,,,,,,
T2_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_SALTWATER_ALL_COMMON,Striped Mackerel (T2),,NA,,,,,,,,,,,,,,,
T2_HEAD_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_HEAD_CLOTH_SET1,Novice's Scholar Cowl (T2),,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
T2_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_HEAD_LEATHER_SET1,Novice's Mercenary Hood (T2),,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,,,,
T2_HEAD_PLATE_SET1,https://render.albiononline.com/v1/item/T2_HEAD_PLATE_SET1,Novice's Soldier Helmet (T2),,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
T2_HIDE,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide (T2),,NA,,,,,,,,,,,,,,,
T2_LEATHER,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather (T2),,NA,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide,1,,,,,,,,,,,,
T2_MAIN_FIRESTAFF,https://render.albiononline.com/v1/item/T2_MAIN_FIRESTAFF,Novice's Fire Staff (T2),,420,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,16,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,
T2_MAIN_SWORD,https://render.albiononline.com/v1/item/T2_MAIN_SWORD,Novice's Broadsword (T2),,420,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,
T2_MEAL_SALAD,https://render.albiononline.com/v1/item/T2_MEAL_SALAD,Bean Salad (T2),,56,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,,,,,,,,,
T2_MEAL_SALAD@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@1,Bean Salad (T2),,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10,,,,,,
T2_MEAL_SALAD@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@2,Bean Salad (T2),,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10,,,,,,
T2_MEAL_SALAD@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@3,Bean Salad (T2),,256,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10,,,,,,
T2_MEAL_SALAD_FISH,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH,Shallowshore Squid Salad (T2),,77,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,,,,,,
T2_MEAL_SALAD_FISH@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@1,Shallowshore Squid Salad (T2),,144,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3,,,
T2_MEAL_SALAD_FISH@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@2,Shallowshore Squid Salad (T2),,278,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3,,,
T2_MEAL_SALAD_FISH@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@3,Shallowshore Squid Salad (T2),,678,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3,,,
T2_MOUNT_MULE,https://render.albiononline.com/v1/item/T2_MOUNT_MULE,Novice's Mule (T2),,486,,,,,,,,,,,,,,,
T2_OFF_BOOK,https://render.albiononline.com/v1/item/T2_OFF_BOOK,Novice's Tome of Spells (T2),,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4,,,,,,,,,
T2_OFF_SHIELD,https://render.albiononline.com/v1/item/T2_OFF_SHIELD,Elder's Eye of Secrets (T8),,140,https://render.albiononline.com/v1/item/T8_CLOTH_LEVEL4,Pristine Baroque Cloth,4,https://render.albiononline.com/v1/item/T8_LEATHER_LEVEL4,Pristine Fortified Leather,4,https://render.albiononline.com/v1/item/T8_ARTEFACT_OFF_ORB_MORGANA,Elder's Alluring Crystal,1,,,,,,
T2_ORE,https://render.albiononline.com/v1/item/T2_ORE,Copper Ore (T2),,NA,,,,,,,,,,,,,,,
T2_PLANKS,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks (T2),,18,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs,1,,,,,,,,,,,,
T2_POTION_ENERGY,https://render.albiononline.com/v1/item/T2_POTION_ENERGY,Minor Energy Potion (T2),,56,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,8,,,,,,,,,,,,
T2_POTION_HEAL,https://render.albiononline.com/v1/item/T2_POTION_HEAL,Exceptional Elder's Dungeon Map (Group) (T8),,NA,https://render.albiononline.com/v1/item/T8_RANDOM_DUNGEON_SOLO_TOKEN_4,Exceptional Elder's Dungeon Map (Solo),5,,,,,,,,,,,,
T2_RANDOM_DUNGEON_SOLO_TOKEN_1,https://render.albiononline.com/v1/item/T2_RANDOM_DUNGEON_SOLO_TOKEN_1,T2_RANDOM_DUNGEON_SOLO_TOKEN_1 (T2),,NA,,,,,,,,,,,,,,,
T2_ROCK,https://render.albiononline.com/v1/item/T2_ROCK,Limestone (T2),,NA,,,,,,,,,,,,,,,
T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals (T2),,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals (T2),,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
T2_SHOES_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_SHOES_LEATHER_SET1,Novice's Mercenary Shoes (T2),,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,,,,
T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots (T2),,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots (T2),,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
T2_STONEBLOCK,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block (T2),,18,https://render.albiononline.com/v1/item/T2_ROCK,Limestone,1,,,,,,,,,,,,
T2_WOOD,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs (T2),,NA,,,,,,,,,,,,,,,
T3_2H_BOW,https://render.albiononline.com/v1/item/T3_2H_BOW,Journeyman's Bow (T3),,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,32,,,,,,,,,,,,
T3_2H_CROSSBOW,https://render.albiononline.com/v1/item/T3_2H_CROSSBOW,Journeyman's Crossbow (T3),,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,20,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,,,,,,,,,
T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves (T3),,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves (T3),,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
T3_2H_QUARTERSTAFF,https://render.albiononline.com/v1/item/T3_2H_QUARTERSTAFF,Journeyman's Quarterstaff (T3),,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
T3_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T3_2H_TOOL_AXE,Journeyman's Axe (T3),,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
T3_2H_TOOL_FISHINGROD,https://render.albiononline.com/v1/item/T3_2H_TOOL_FISHINGROD,Journeyman's Fishing Rod (T3),,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,2,,,,,,,,,
T3_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_HAMMER,Journeyman's Stone Hammer (T3),,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
T3_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T3_2H_TOOL_KNIFE,Journeyman's Skinning Knife (T3),,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
T3_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T3_2H_TOOL_PICK,Journeyman's Pickaxe (T3),,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
T3_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_SIEGEHAMMER,Journeyman's Demolition Hammer (T3),,490,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,8,https://render.albiononline.com/v1/item/T3_STONEBLOCK,Sandstone Block,8,,,,,,,,,
T3_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_CLOTH_SET1,Journeyman's Scholar Robe (T3),,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,16,,,,,,,,,,,,
T3_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_LEATHER_SET1,Journeyman's Mercenary Jacket (T3),,490,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,16,,,,,,,,,,,,
T3_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_PLATE_SET1,Journeyman's Soldier Armor (T3),,490,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,16,,,,,,,,,,,,
T3_BAG,https://render.albiononline.com/v1/item/T3_BAG,Journeyman's Bag (T3),,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,8,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,8,,,,,,,,,
T3_CAPE,https://render.albiononline.com/v1/item/T3_CAPE,Journeyman's Cape (T3),,245,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,4,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,4,,,,,,,,,
T3_CLOTH,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth (T3),,31,https://render.albiononline.com/v1/item/T3_FIBER,Flax,2,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,1,,,,,,,,,
T3_COMFREY,https://render.albiononline.com/v1/item/T3_COMFREY,Brightleaf Comfrey (T3),,NA,,,,,,,,,,,,,,,
T3_EGG,https://render.albiononline.com/v1/item/T3_EGG,Hen Eggs (T3),,NA,,,,,,,,,,,,,,,
T3_FARM_CHICKEN_BABY,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_BABY,Baby Chickens (T3),5000,Silver,,,,,,,,,,,,,,,
T3_FARM_CHICKEN_GROWN,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_GROWN,Chicken (T3),,NA,,,,,,,,,,,,,,,
T3_FARM_COMFREY_SEED,https://render.albiononline.com/v1/item/T3_FARM_COMFREY_SEED,Brightleaf Comfrey Seeds (T3),5000,Silver,,,,,,,,,,,,,,,
T3_FARM_HORSE_BABY,https://render.albiononline.com/v1/item/T3_FARM_HORSE_BABY,Journeyman's Foal (T3),25000,Silver,,,,,,,,,,,,,,,
T3_FARM_HORSE_GROWN,https://render.albiononline.com/v1/item/T3_FARM_HORSE_GROWN,Journeyman's Horse (T3),,NA,,,,,,,,,,,,,,,
