,Category_Name,Category_Images,Product,Silver_Cost,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount
10,T1_FARM_CARROT_SEED,https://render.albiononline.com/v1/item/T1_FARM_CARROT_SEED,Carrot Seeds ,2000,Silver,,,,,,,,,,,,,,,
11,T1_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd ,,,,,,,,,,,,,,,,,
12,T1_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_SALTWATER_ALL_COMMON,Common Herring ,,,,,,,,,,,,,,,,,
13,T1_FISHCHOPS,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish ,,,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd,1,,,,,,,,,,,,
14,T1_FISHINGBAIT,https://render.albiononline.com/v1/item/T1_FISHINGBAIT,Simple Fish Bait ,,,https://render.albiononline.com/v1/item/T1_WORM,Earthworm,1,,,,,,,,,,,,
15,T1_FISHSAUCE_LEVEL1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce ,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,15,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,1,,,,,,,,,
16,T1_FISHSAUCE_LEVEL2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce ,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,45,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,3,,,,,,,,,
17,T1_FISHSAUCE_LEVEL3,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce ,,,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,135,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,9,,,,,,,,,
18,T1_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T1_HEAD_LEATHER_SET1,Beginner's Mercenary Hood ,,,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,4,,,,,,,,,,,,
19,T1_HIDE,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide ,,,,,,,,,,,,,,,,,
20,T1_MAIN_SWORD,https://render.albiononline.com/v1/item/T1_MAIN_SWORD,Beginner's Broadsword ,,,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,6,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,6,,,,,,,,,
21,T1_MEAL_GRILLEDFISH,https://render.albiononline.com/v1/item/T1_MEAL_GRILLEDFISH,Grilled Fish ,,15,,,,,,,,,,,,,,,
22,T1_MEAL_SEAWEEDSALAD,https://render.albiononline.com/v1/item/T1_MEAL_SEAWEEDSALAD,Seaweed Salad ,,4,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,10,,,,,,,,,,,,
23,T1_MEAL_SOUP,https://render.albiononline.com/v1/item/T1_MEAL_SOUP,Carrot Soup ,,56,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,,,,,,,,,,,,
24,T1_MEAL_SOUP@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@1,Carrot Soup ,,78,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10,,,,,,,,,
25,T1_MEAL_SOUP@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@2,Carrot Soup ,,123,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10,,,,,,,,,
26,T1_MEAL_SOUP@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP@3,Carrot Soup ,,256,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10,,,,,,,,,
27,T1_MEAL_SOUP_FISH,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH,Greenmoor Clam Soup ,,77,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,,,,,,,,,
28,T1_MEAL_SOUP_FISH@1,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@1,Greenmoor Clam Soup ,,144,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3,,,,,,
29,T1_MEAL_SOUP_FISH@2,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@2,Greenmoor Clam Soup ,,278,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3,,,,,,
30,T1_MEAL_SOUP_FISH@3,https://render.albiononline.com/v1/item/T1_MEAL_SOUP_FISH@3,Greenmoor Clam Soup ,,678,https://render.albiononline.com/v1/item/T3_FISH_FRESHWATER_SWAMP_RARE,Greenmoor Clam,1,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3,,,,,,
31,T1_OFF_SHIELD,https://render.albiononline.com/v1/item/T1_OFF_SHIELD,Beginner's Shield ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,4,,,,,,,0,0,0,,,
32,T1_ROCK,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone ,,,,,,,,,,,,0,0,0,,,
33,T1_SEAWEED,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed ,,,,,,,,,,,,,,,,,
34,T1_SHOES_LEATHER_SET1,﻿https://render.albiononline.com/v1/item/T1_SHOES_LEATHER_SET1,Beginner's Mercenary Shoes ,,,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,6,,,,,,,,,,,,
35,T1_WOOD,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs ,,,,,,,,,,,,0,0,0,,,
36,T1_WORM,https://render.albiononline.com/v1/item/T1_WORM,Earthworm ,,,,,,,,,,,,,,,,,
37,T2_2H_BOW,https://render.albiononline.com/v1/item/T2_2H_BOW,Novice's Bow ,,560,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,32,,,,,,,,,,,,
38,T2_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T2_2H_TOOL_AXE,Novice's Axe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
39,T2_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_HAMMER,Novice's Stone Hammer ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
40,T2_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T2_2H_TOOL_KNIFE,Novice's Skinning Knife ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
41,T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
42,T2_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T2_2H_TOOL_PICK,Novice's Pickaxe ,,140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,,,,,,,
43,T2_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T2_2H_TOOL_SIEGEHAMMER,Novice's Demolition Hammer ,,280,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,12,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block,12,,,,,,,,,
44,T2_AGARIC,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric ,,,,,,,,,,,,,,,,,
45,T2_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_CLOTH_SET1,Novice's Scholar Robe ,,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,16,,,,,,,,,,,,
46,T2_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_LEATHER_SET1,Novice's Mercenary Jacket ,,280,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,16,,,,,,,,,,,,
47,T2_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T2_ARMOR_PLATE_SET1,Novice's Soldier Armor ,,280,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16,,,,,,,,,,,,
48,T2_BAG,https://render.albiononline.com/v1/item/T2_BAG,Novice's Bag ,,280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,12,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,12,,,,,,,,,
49,T2_BEAN,https://render.albiononline.com/v1/item/T2_BEAN,Beans ,,,,,,,,,,,,,,,,,
50,T2_CAPE,https://render.albiononline.com/v1/item/T2_CAPE,Novice's Cape ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4,,,,,,,,,
51,T2_CLOTH,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth ,,18,https://render.albiononline.com/v1/item/T2_FIBER,Cotton,1,,,,,,,,,,,,
52,T2_FARM_AGARIC_SEED,https://render.albiononline.com/v1/item/T2_FARM_AGARIC_SEED,Arcane Agaric Seeds ,3000,Silver,,,,,,,,,,,,,,,
53,T2_FARM_BEAN_SEED,https://render.albiononline.com/v1/item/T2_FARM_BEAN_SEED,Carrot Seeds ,3000,Silver,,,,,,,,,,,,,,,
54,T2_FIBER,https://render.albiononline.com/v1/item/T2_FIBER,Cotton ,,,,,,,,,,,,,,,,,
55,T2_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_FRESHWATER_ALL_COMMON,Striped Carp ,,,,,,,,,,,,,,,,,
56,T2_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T2_FISH_SALTWATER_ALL_COMMON,Striped Mackerel ,,,,,,,,,,,,,,,,,
57,T2_HEAD_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_HEAD_CLOTH_SET1,Novice's Scholar Cowl ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
58,T2_HEAD_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_HEAD_LEATHER_SET1,Novice's Mercenary Hood ,,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,,,,
59,T2_HEAD_PLATE_SET1,https://render.albiononline.com/v1/item/T2_HEAD_PLATE_SET1,Novice's Soldier Helmet ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
60,T2_HIDE,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide ,,,,,,,,,,,,,,,,,
61,T2_LEATHER,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather ,,,https://render.albiononline.com/v1/item/T2_HIDE,Rugged Hide,1,,,,,,,,,,,,
62,T2_MAIN_FIRESTAFF,https://render.albiononline.com/v1/item/T2_MAIN_FIRESTAFF,Novice's Fire Staff ,,420,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,16,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,
63,T2_MAIN_SWORD,https://render.albiononline.com/v1/item/T2_MAIN_SWORD,Novice's Broadsword ,,420,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,
64,T2_MEAL_SALAD,https://render.albiononline.com/v1/item/T2_MEAL_SALAD,Bean Salad ,,56,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,,,,,,,,,
65,T2_MEAL_SALAD@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@1,Bean Salad ,,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10,,,,,,
66,T2_MEAL_SALAD@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@2,Bean Salad ,,78,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10,,,,,,
67,T2_MEAL_SALAD@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD@3,Bean Salad ,,256,https://render.albiononline.com/v1/item/T2_BEAN,Beans,8,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,8,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10,,,,,,
68,T2_MEAL_SALAD_FISH,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH,Shallowshore Squid Salad ,,77,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,,,,,,
69,T2_MEAL_SALAD_FISH@1,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@1,Shallowshore Squid Salad ,,144,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,3,,,
70,T2_MEAL_SALAD_FISH@2,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@2,Shallowshore Squid Salad ,,278,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,3,,,
71,T2_MEAL_SALAD_FISH@3,https://render.albiononline.com/v1/item/T2_MEAL_SALAD_FISH@3,Shallowshore Squid Salad ,,678,https://render.albiononline.com/v1/item/T3_FISH_SALTWATER_ALL_RARE,Shallowshore Squid,1,https://render.albiononline.com/v1/item/T2_BEAN,Beans,1,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,3,,,
72,T2_MOUNT_MULE,https://render.albiononline.com/v1/item/T2_MOUNT_MULE,Novice's Mule ,,486,,,,,,,,,,,,,,,
73,T2_OFF_BOOK,https://render.albiononline.com/v1/item/T2_OFF_BOOK,Novice's Tome of Spells ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,4,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,4,,,,,,,,,
74,T2_OFF_SHIELD,https://render.albiononline.com/v1/item/T2_OFF_SHIELD,Elder's Eye of Secrets ,,140,https://render.albiononline.com/v1/item/T8_CLOTH_LEVEL4,Pristine Baroque Cloth,4,https://render.albiononline.com/v1/item/T8_LEATHER_LEVEL4,Pristine Fortified Leather,4,https://render.albiononline.com/v1/item/T8_ARTEFACT_OFF_ORB_MORGANA,Elder's Alluring Crystal,1,,,,,,
75,T2_ORE,https://render.albiononline.com/v1/item/T2_ORE,Copper Ore ,,,,,,,,,,,,,,,,,
76,T2_PLANKS,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks ,,18,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs,1,,,,,,,,,,,,
77,T2_POTION_ENERGY,https://render.albiononline.com/v1/item/T2_POTION_ENERGY,Minor Energy Potion ,,56,https://render.albiononline.com/v1/item/T2_AGARIC,Arcane Agaric,8,,,,,,,,,,,,
78,T2_POTION_HEAL,https://render.albiononline.com/v1/item/T2_POTION_HEAL,Exceptional Elder's Dungeon Map ,,,https://render.albiononline.com/v1/item/T8_RANDOM_DUNGEON_SOLO_TOKEN_4,Exceptional Elder's Dungeon Map (Solo),5,,,,,,,,,,,,
79,T2_RANDOM_DUNGEON_SOLO_TOKEN_1,https://render.albiononline.com/v1/item/T2_RANDOM_DUNGEON_SOLO_TOKEN_1,T2_RANDOM_DUNGEON_SOLO_TOKEN_1 ,,,,,,,,,,,,,,,,,
80,T2_ROCK,https://render.albiononline.com/v1/item/T2_ROCK,Limestone ,,,,,,,,,,,,,,,,,
81,T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
82,T2_SHOES_CLOTH_SET1,https://render.albiononline.com/v1/item/T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals ,,140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,,,,,,,
83,T2_SHOES_LEATHER_SET1,https://render.albiononline.com/v1/item/T2_SHOES_LEATHER_SET1,Novice's Mercenary Shoes ,,140,https://render.albiononline.com/v1/item/T2_LEATHER,Stiff Leather,8,,,,,,,,,,,,
84,T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
85,T2_SHOES_PLATE_SET1,https://render.albiononline.com/v1/item/T2_SHOES_PLATE_SET1,Novice's Soldier Boots ,,140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,,,,,,,
86,T2_STONEBLOCK,https://render.albiononline.com/v1/item/T2_STONEBLOCK,Limestone Block ,,18,https://render.albiononline.com/v1/item/T2_ROCK,Limestone,1,,,,,,,,,,,,
87,T2_WOOD,https://render.albiononline.com/v1/item/T2_WOOD,Birch Logs ,,,,,,,,,,,,,,,,,
88,T3_2H_BOW,https://render.albiononline.com/v1/item/T3_2H_BOW,Journeyman's Bow ,,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,32,,,,,,,,,,,,
89,T3_2H_CROSSBOW,https://render.albiononline.com/v1/item/T3_2H_CROSSBOW,Journeyman's Crossbow ,,980,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,20,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,,,,,,,,,
90,T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
91,T3_2H_KNUCKLES_SET1,https://render.albiononline.com/v1/item/T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
92,T3_2H_QUARTERSTAFF,https://render.albiononline.com/v1/item/T3_2H_QUARTERSTAFF,Journeyman's Quarterstaff ,,980,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,12,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,20,,,,,,,,,
93,T3_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T3_2H_TOOL_AXE,Journeyman's Axe ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
94,T3_2H_TOOL_FISHINGROD,https://render.albiononline.com/v1/item/T3_2H_TOOL_FISHINGROD,Journeyman's Fishing Rod ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,2,,,,,,,,,
95,T3_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_HAMMER,Journeyman's Stone Hammer ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
96,T3_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T3_2H_TOOL_KNIFE,Journeyman's Skinning Knife ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
97,T3_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T3_2H_TOOL_PICK,Journeyman's Pickaxe ,,245,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,6,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,2,,,,,,,,,
98,T3_2H_TOOL_SIEGEHAMMER,https://render.albiononline.com/v1/item/T3_2H_TOOL_SIEGEHAMMER,Journeyman's Demolition Hammer ,,490,https://render.albiononline.com/v1/item/T3_PLANKS,Chestnut Planks,8,https://render.albiononline.com/v1/item/T3_STONEBLOCK,Sandstone Block,8,,,,,,,,,
99,T3_ARMOR_CLOTH_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_CLOTH_SET1,Journeyman's Scholar Robe ,,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,16,,,,,,,,,,,,
100,T3_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_LEATHER_SET1,Journeyman's Mercenary Jacket ,,490,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,16,,,,,,,,,,,,
101,T3_ARMOR_PLATE_SET1,https://render.albiononline.com/v1/item/T3_ARMOR_PLATE_SET1,Journeyman's Soldier Armor ,,490,https://render.albiononline.com/v1/item/T3_METALBAR,Bronze Bar,16,,,,,,,,,,,,
102,T3_BAG,https://render.albiononline.com/v1/item/T3_BAG,Journeyman's Bag ,,490,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,8,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,8,,,,,,,,,
103,T3_CAPE,https://render.albiononline.com/v1/item/T3_CAPE,Journeyman's Cape ,,245,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth,4,https://render.albiononline.com/v1/item/T3_LEATHER,Thick Leather,4,,,,,,,,,
104,T3_CLOTH,https://render.albiononline.com/v1/item/T3_CLOTH,Neat Cloth ,,31,https://render.albiononline.com/v1/item/T3_FIBER,Flax,2,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,1,,,,,,,,,
105,T3_COMFREY,https://render.albiononline.com/v1/item/T3_COMFREY,Brightleaf Comfrey ,,,,,,,,,,,,,,,,,
106,T3_EGG,https://render.albiononline.com/v1/item/T3_EGG,Hen Eggs ,,,,,,,,,,,,,,,,,
107,T3_FARM_CHICKEN_BABY,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_BABY,Baby Chickens ,5000,Silver,,,,,,,,,,,,,,,
108,T3_FARM_CHICKEN_GROWN,https://render.albiononline.com/v1/item/T3_FARM_CHICKEN_GROWN,Chicken ,,,,,,,,,,,,,,,,,
109,T3_FARM_COMFREY_SEED,https://render.albiononline.com/v1/item/T3_FARM_COMFREY_SEED,Brightleaf Comfrey Seeds ,5000,Silver,,,,,,,,,,,,,,,
110,T3_FARM_HORSE_BABY,https://render.albiononline.com/v1/item/T3_FARM_HORSE_BABY,Journeyman's Foal ,25000,Silver,,,,,,,,,,,,,,,
111,T3_FARM_HORSE_GROWN,https://render.albiononline.com/v1/item/T3_FARM_HORSE_GROWN,Journeyman's Horse ,,,,,,,,,,,,,,,,,
112,T3_FARM_OX_BABY,https://render.albiononline.com/v1/item/T3_FARM_OX_BABY,Journeyman's Ox Calf ,25000,Silver,,,,,,,,,,,,,,,
